,Unnamed: 0,id,trial_date,trial_hour,day_of_week,trial_country,subscription_date,sub_hour_start,sub_label,trial_dateTime,sub_dateTime,subLag,country_count,us,uk,can,aus,mon,tueSun,wedSat,thr,fri
40672,40672,5197f580e4b0ef02d1bc3864,2013-05-18 00:00:00,17,Saturday,Poland,,,0,2013-05-18 17:00:00,,,199,0,0,0,0,0,0,1,0,0
56936,56936,519fae1ce4b0cc7b837b33e1,2013-05-24 00:00:00,14,Friday,Canada,,,0,2013-05-24 14:00:00,,,4868,0,0,1,0,0,0,0,0,1
56303,56303,519f56ffe4b0db707ac047bd,2013-05-24 00:00:00,8,Friday,United States,,,0,2013-05-24 08:00:00,,,45149,1,0,0,0,0,0,0,0,1
69456,69456,51a6b3c6e4b07eba0099c17f,2013-05-29 00:00:00,22,Wednesday,United States,,,0,2013-05-29 22:00:00,,,45149,1,0,0,0,0,0,1,0,0
40285,40285,5197c321e4b072ff53093451,2013-05-18 00:00:00,14,Saturday,United States,,,0,2013-05-18 14:00:00,,,45149,1,0,0,0,0,0,1,0,0
66311,66311,51a5677de4b0643b1caa1128,2013-05-28 00:00:00,22,Tuesday,United States,,,0,2013-05-28 22:00:00,,,45149,1,0,0,0,0,1,0,0,0
11675,11675,5187c172e4b0046126dd8cdd,2013-05-06 00:00:00,10,Monday,United States,,,0,2013-05-06 10:00:00,,,45149,1,0,0,0,1,0,0,0,0
8918,8918,5185b5dce4b065e39b43214a,2013-05-04 00:00:00,21,Saturday,United States,,,0,2013-05-04 21:00:00,,,45149,1,0,0,0,0,0,1,0,0
18256,18256,518ac6e5e4b09520fb841a64,2013-05-08 00:00:00,17,Wednesday,United States,2013-05-12 00:00:00,12.0,1,2013-05-08 17:00:00,2013-05-12 12:00:00,3 days 19:00:00.000000000,45149,1,0,0,0,0,0,1,0,0
343,343,5180d7dde4b0f7b782d6fc92,2013-05-01 00:00:00,4,Wednesday,Ireland,,,0,2013-05-01 04:00:00,,,617,0,0,0,0,0,0,1,0,0
1648,1648,5181772ae4b06064a0d877ee,2013-05-01 00:00:00,16,Wednesday,United States,,,0,2013-05-01 16:00:00,,,45149,1,0,0,0,0,0,1,0,0
61463,61463,51a2e1a7e4b040633930cb9e,2013-05-27 00:00:00,0,Monday,Canada,,,0,2013-05-27 00:00:00,,,4868,0,0,1,0,1,0,0,0,0
69117,69117,51a69281e4b07edcf513a2a2,2013-05-29 00:00:00,19,Wednesday,Canada,,,0,2013-05-29 19:00:00,,,4868,0,0,1,0,0,0,1,0,0
57301,57301,519fcf89e4b046d94a979ebf,2013-05-24 00:00:00,16,Friday,United States,,,0,2013-05-24 16:00:00,,,45149,1,0,0,0,0,0,0,0,1
48359,48359,519a64aae4b0fd55ab899c16,2013-05-20 00:00:00,14,Monday,null,,,0,2013-05-20 14:00:00,,,996,0,0,0,0,1,0,0,0,0
42570,42570,5199531ee4b06c10ed4b9f68,2013-05-19 00:00:00,18,Sunday,United States,,,0,2013-05-19 18:00:00,,,45149,1,0,0,0,0,1,0,0,0
34824,34824,5194571be4b0ed5331dd5177,2013-05-15 00:00:00,23,Wednesday,Australia,,,0,2013-05-15 23:00:00,,,3414,0,0,0,1,0,0,1,0,0
55788,55788,519ee01ee4b0c90b263b6ecb,2013-05-23 00:00:00,23,Thursday,Canada,,,0,2013-05-23 23:00:00,,,4868,0,0,1,0,0,0,0,1,0
16982,16982,518a4b9ce4b0d70f7846119c,2013-05-08 00:00:00,8,Wednesday,United States,,,0,2013-05-08 08:00:00,,,45149,1,0,0,0,0,0,1,0,0
70287,70287,51a7441be4b01abd05766a74,2013-05-30 00:00:00,8,Thursday,United Kingdom,2013-06-12 00:00:00,14.0,1,2013-05-30 08:00:00,2013-06-12 14:00:00,13 days 06:00:00.000000000,5408,0,1,0,0,0,0,0,1,0
41511,41511,5198b113e4b0724ab770f1d2,2013-05-19 00:00:00,7,Sunday,Switzerland,,,0,2013-05-19 07:00:00,,,297,0,0,0,0,0,1,0,0,0
52798,52798,519d5802e4b0d1d19df5e7d8,2013-05-22 00:00:00,19,Wednesday,Canada,,,0,2013-05-22 19:00:00,,,4868,0,0,1,0,0,0,1,0,0
38014,38014,51965077e4b0566afb25d946,2013-05-17 00:00:00,11,Friday,United States,,,0,2013-05-17 11:00:00,,,45149,1,0,0,0,0,0,0,0,1
6111,6111,5183dbdae4b04fc5ce6dd198,2013-05-03 00:00:00,11,Friday,United States,,,0,2013-05-03 11:00:00,,,45149,1,0,0,0,0,0,0,0,1
20466,20466,518bfb6ce4b07ff096e0636c,2013-05-09 00:00:00,15,Thursday,United States,2013-05-09 00:00:00,19.0,1,2013-05-09 15:00:00,2013-05-09 19:00:00,0 days 04:00:00.000000000,45149,1,0,0,0,0,0,0,1,0
25652,25652,518f878ce4b0c6f6d72e01a2,2013-05-12 00:00:00,8,Sunday,United Kingdom,,,0,2013-05-12 08:00:00,,,5408,0,1,0,0,0,1,0,0,0
70512,70512,51a76098e4b0826c31b33a59,2013-05-30 00:00:00,10,Thursday,Malaysia,,,0,2013-05-30 10:00:00,,,150,0,0,0,0,0,0,0,1,0
43232,43232,5199afdde4b0191970590360,2013-05-20 00:00:00,1,Monday,Australia,,,0,2013-05-20 01:00:00,,,3414,0,0,0,1,1,0,0,0,0
58524,58524,51a0e17ae4b033beac4ef604,2013-05-25 00:00:00,12,Saturday,United Kingdom,,,0,2013-05-25 12:00:00,,,5408,0,1,0,0,0,0,1,0,0
9586,9586,5186691fe4b09995885f7922,2013-05-05 00:00:00,10,Sunday,United Kingdom,,,0,2013-05-05 10:00:00,,,5408,0,1,0,0,0,1,0,0,0
9222,9222,5185eda1e4b09995885e75c2,2013-05-05 00:00:00,1,Sunday,Australia,,,0,2013-05-05 01:00:00,,,3414,0,0,0,1,0,1,0,0,0
70866,70866,51a781f9e4b044668aed48c4,2013-05-30 00:00:00,12,Thursday,United States,2013-06-13 00:00:00,12.0,1,2013-05-30 12:00:00,2013-06-13 12:00:00,14 days 00:00:00.000000000,45149,1,0,0,0,0,0,0,1,0
59189,59189,51a13dfce4b0d5a537db621d,2013-05-25 00:00:00,18,Saturday,United States,,,0,2013-05-25 18:00:00,,,45149,1,0,0,0,0,0,1,0,0
67706,67706,51a62a6ae4b01744fb386dc0,2013-05-29 00:00:00,12,Wednesday,United Kingdom,,,0,2013-05-29 12:00:00,,,5408,0,1,0,0,0,0,1,0,0
37991,37991,51964e95e4b0af15cc446e68,2013-05-17 00:00:00,11,Friday,United States,,,0,2013-05-17 11:00:00,,,45149,1,0,0,0,0,0,0,0,1
19492,19492,518b77a3e4b023f42246cede,2013-05-09 00:00:00,6,Thursday,Austria,,,0,2013-05-09 06:00:00,,,86,0,0,0,0,0,0,0,1,0
66630,66630,51a58d39e4b00f442896c84d,2013-05-29 00:00:00,1,Wednesday,United States,,,0,2013-05-29 01:00:00,,,45149,1,0,0,0,0,0,1,0,0
49934,49934,519c1096e4b02745db13e82e,2013-05-21 00:00:00,20,Tuesday,United States,,,0,2013-05-21 20:00:00,,,45149,1,0,0,0,0,1,0,0,0
39749,39749,5197660fe4b01919705699e7,2013-05-18 00:00:00,7,Saturday,Australia,,,0,2013-05-18 07:00:00,,,3414,0,0,0,1,0,0,1,0,0
73010,73010,51a8844ae4b0d8e626b2a03e,2013-05-31 00:00:00,7,Friday,United Kingdom,2013-06-11 00:00:00,4.0,1,2013-05-31 07:00:00,2013-06-11 04:00:00,10 days 21:00:00.000000000,5408,0,1,0,0,0,0,0,0,1
51465,51465,519ce70fe4b0be591840d33c,2013-05-22 00:00:00,11,Wednesday,France,2013-05-22 00:00:00,12.0,1,2013-05-22 11:00:00,2013-05-22 12:00:00,0 days 01:00:00.000000000,562,0,0,0,0,0,0,1,0,0
48137,48137,519a5c08e4b0f959469ebb87,2013-05-20 00:00:00,13,Monday,null,,,0,2013-05-20 13:00:00,,,996,0,0,0,0,1,0,0,0,0
12722,12722,5188237de4b03b0ad131c4ab,2013-05-06 00:00:00,17,Monday,United Kingdom,,,0,2013-05-06 17:00:00,,,5408,0,1,0,0,1,0,0,0,0
9160,9160,5185de8ae4b0b930f1cc8ee8,2013-05-05 00:00:00,0,Sunday,United States,2013-05-12 00:00:00,16.0,1,2013-05-05 00:00:00,2013-05-12 16:00:00,7 days 16:00:00.000000000,45149,1,0,0,0,0,1,0,0,0
23466,23466,518d9ecee4b062fea3104604,2013-05-10 00:00:00,21,Friday,United States,,,0,2013-05-10 21:00:00,,,45149,1,0,0,0,0,0,0,0,1
44799,44799,519a653fe4b0bcaaac4a5804,2013-05-20 00:00:00,14,Monday,United States,,,0,2013-05-20 14:00:00,,,45149,1,0,0,0,1,0,0,0,0
68235,68235,51a64f56e4b09006e9cd748f,2013-05-29 00:00:00,14,Wednesday,United Kingdom,,,0,2013-05-29 14:00:00,,,5408,0,1,0,0,0,0,1,0,0
73075,73075,51a88f5de4b02f2026031433,2013-05-31 00:00:00,7,Friday,Portugal,2013-06-13 00:00:00,15.0,1,2013-05-31 07:00:00,2013-06-13 15:00:00,13 days 08:00:00.000000000,203,0,0,0,0,0,0,0,0,1
52818,52818,519d5a3fe4b0472039d274d5,2013-05-22 00:00:00,19,Wednesday,United States,,,0,2013-05-22 19:00:00,,,45149,1,0,0,0,0,0,1,0,0
31287,31287,51929ddfe4b0e3510de8e499,2013-05-14 00:00:00,16,Tuesday,United States,,,0,2013-05-14 16:00:00,,,45149,1,0,0,0,0,1,0,0,0
64714,64714,51a4d718e4b0b3ec2049521a,2013-05-28 00:00:00,12,Tuesday,United States,,,0,2013-05-28 12:00:00,,,45149,1,0,0,0,0,1,0,0,0
66820,66820,51a5b463e4b040da1a8814cc,2013-05-29 00:00:00,3,Wednesday,Egypt,,,0,2013-05-29 03:00:00,,,69,0,0,0,0,0,0,1,0,0
6606,6606,51841343e4b0046126d309b3,2013-05-03 00:00:00,15,Friday,United States,,,0,2013-05-03 15:00:00,,,45149,1,0,0,0,0,0,0,0,1
48761,48761,519bab64e4b0bfa7a02ba9f3,2013-05-21 00:00:00,13,Tuesday,United States,,,0,2013-05-21 13:00:00,,,45149,1,0,0,0,0,1,0,0,0
20701,20701,518c0e99e4b0394d316433c6,2013-05-09 00:00:00,17,Thursday,United States,,,0,2013-05-09 17:00:00,,,45149,1,0,0,0,0,0,0,1,0
18375,18375,518ad2c4e4b06a18ff50e767,2013-05-08 00:00:00,18,Wednesday,United States,2013-05-15 00:00:00,16.0,1,2013-05-08 18:00:00,2013-05-15 16:00:00,6 days 22:00:00.000000000,45149,1,0,0,0,0,0,1,0,0
5968,5968,5183cc63e4b09995885919fd,2013-05-03 00:00:00,10,Friday,United States,,,0,2013-05-03 10:00:00,,,45149,1,0,0,0,0,0,0,0,1
39867,39867,51978573e4b041b39c92557c,2013-05-18 00:00:00,9,Saturday,Slovenia,,,0,2013-05-18 09:00:00,,,51,0,0,0,0,0,0,1,0,0
27830,27830,519105c0e4b075248d6befe9,2013-05-13 00:00:00,11,Monday,United States,,,0,2013-05-13 11:00:00,,,45149,1,0,0,0,1,0,0,0,0
19149,19149,518b29d3e4b0a8118e266975,2013-05-09 00:00:00,0,Thursday,United States,,,0,2013-05-09 00:00:00,,,45149,1,0,0,0,0,0,0,1,0
